slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
alcorga01,Gary Alcorn,CENTER,23,DETROIT PISTONS,58,0,670,91,312,0,0,48,84,0,0,22,0,0,0,123,230
anderbo01,Bob Anderegg,SMALL FORWARD,22,NEW YORK KNICKS,33,0,373,55,143,0,0,23,42,0,0,29,0,0,0,32,133
arizipa01,Paul Arizin,SMALL FORWARD,31,,72,0,2618,593,1400,0,0,420,526,0,0,165,0,0,0,263,1606
barnedi01,Dick Barnett,SHOOTING GUARD,23,,57,0,1235,289,701,0,0,128,180,0,0,160,0,0,0,98,706
bayloel01,Elgin Baylor,SMALL FORWARD,25,,70,0,2873,755,1781,0,0,564,770,0,0,243,0,0,0,234,2074
becker01,Ernie Beck,SHOOTING GUARD,28,,66,0,809,114,294,0,0,27,32,0,0,72,0,0,0,90,255
bellwh01,Whitey Bell,POINT GUARD,27,NEW YORK KNICKS,31,0,449,70,185,0,0,28,43,0,0,55,0,0,0,59,168
biancal01,Al Bianchi,POINT GUARD,27,,69,0,1256,211,576,0,0,109,155,0,0,169,0,0,0,231,531
bockhbu01,Bucky Bockhorn,SHOOTING GUARD,26,,75,0,2103,323,812,0,0,145,194,0,0,256,0,0,0,249,791
braunca01,Carl Braun,POINT GUARD,32,NEW YORK KNICKS,54,0,1514,285,659,0,0,129,154,0,0,270,0,0,0,127,699
cableba01,Barney Cable,FORWARD,24,DETROIT PISTONS,7,0,116,22,60,0,0,4,10,0,0,6,0,0,0,19,48
cableba01,Barney Cable,SMALL FORWARD,24,,50,0,599,87,230,0,0,40,57,0,0,33,0,0,0,74,214
chambwi01,Wilt Chamberlain,CENTER,23,,72,0,3338,1065,2311,0,0,577,991,0,0,168,0,0,0,150,2707
conlege01,Gene Conley,POWER FORWARD,29,BOSTON CELTICS,71,0,1330,201,539,0,0,76,114,0,0,32,0,0,0,270,478
conlied01,Ed Conlin,SHOOTING GUARD,26,DETROIT PISTONS,70,0,1636,300,831,0,0,181,238,0,0,126,0,0,0,158,781
costela01,Larry Costello,POINT GUARD,28,,71,0,2469,372,822,0,0,249,289,0,0,449,0,0,0,234,993
cousybo01,Bob Cousy,POINT GUARD,31,BOSTON CELTICS,75,0,2588,568,1481,0,0,319,403,0,0,715,0,0,0,146,1455
deesar01,Archie Dees,POWER FORWARD,23,DETROIT PISTONS,73,0,1244,271,617,0,0,165,204,0,0,43,0,0,0,188,707
dierkco01,Connie Dierking,CENTER,23,,71,0,1119,192,526,0,0,108,188,0,0,54,0,0,0,168,492
dukeswa01,Walter Dukes,CENTER,29,DETROIT PISTONS,66,0,2140,314,871,0,0,376,508,0,0,80,0,0,0,310,1004
ellisbo01,Boo Ellis,POWER FORWARD,23,,46,0,671,64,185,0,0,51,76,0,0,27,0,0,0,64,179
embrywa01,Wayne Embry,CENTER,22,,73,0,1594,303,690,0,0,167,325,0,0,83,0,0,0,226,773
