Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Mahmoud Abdul-Rauf,PG,57,53,2029,7.345490389354362,16.944307540660425,2.1468703794972894,5.482503696402168,2.590438639724002,2.7856086742237554,0.4613109906357812,1.9871858058156726,6.901922129127649,1.1355347461803844,0.05322819122720552,2.040413997042878,2.075899457861015,19.428289797930013,18.6,0.535,0.324,0.16399999999999998,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,3.5,-1.6,1.9,35.59649122807018
Kenny Anderson,PG,31,28,1042,4.940499040307102,13.128598848368522,1.2437619961612285,3.4203454894433785,5.216890595009597,6.495201535508637,1.2783109404990403,2.2111324376199617,8.53358925143954,1.796545105566219,0.2763915547024952,2.0038387715930903,2.522072936660269,16.34165067178503,19.8,0.511,0.261,0.495,3.8,6.9,5.3,40.4,2.6,0.6,11.1,21.8,2.7,1.0,3.7,0.172,4.2,1.2,5.4,33.61290322580645
Nick Anderson,SG,77,77,2717,5.2999631947000365,11.977916820022083,2.2259845417740154,5.697460434302539,2.1994847258005152,3.1799779168200217,1.2189915347810083,4.279720279720279,3.6967243283032754,1.6032388663967612,0.6094957673905042,1.868237026131763,1.7887375782112622,15.025395656974604,16.5,0.562,0.47600000000000003,0.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,4.2,3.3,7.4,0.131,2.3,0.7,2.9,35.285714285714285
Willie Anderson,SG,49,42,1564,5.340153452685422,12.130434782608695,0.6675191815856778,2.186700767263427,2.6010230179028135,3.0383631713554986,0.8056265984654731,3.475703324808184,3.429667519181586,1.3350383631713556,1.173913043478261,2.739130434782609,3.9360613810741687,13.948849104859335,11.9,0.518,0.18,0.25,2.7,11.6,7.1,15.1,1.9,2.5,16.9,19.8,0.1,0.8,0.9,0.027000000000000003,-2.0,-0.1,-2.1,31.918367346938776
Greg Anthony,PG,69,68,2096,5.564885496183207,13.414122137404581,1.5458015267175573,4.654580152671756,3.9332061068702293,5.101145038167939,0.49809160305343514,2.490458015267176,8.17557251908397,1.9923664122137406,0.18893129770992367,2.7480916030534353,2.353053435114504,16.608778625954198,18.6,0.53,0.34700000000000003,0.38,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,2.9,1.9,4.8,0.111,2.6,0.4,2.9,30.3768115942029
Stacey Augmon,SF,77,49,2294,5.680906713164777,11.58151700087184,0.015693112467306015,0.06277244986922406,3.9389712292938097,4.974716652136007,2.149956408020924,2.6207497820401047,2.149956408020924,1.6634699215344377,0.48648648648648646,2.16564952048823,2.950305143853531,15.316477768090671,15.9,0.556,0.005,0.43,6.8,9.0,7.8,10.0,2.5,1.0,13.6,19.9,3.5,2.1,5.6,0.11699999999999999,0.1,0.2,0.3,29.792207792207794
Vin Baker,PF,82,82,3319,7.581801747514311,15.499849352214524,0.1084664055438385,0.5206387466104249,3.4817716179572162,5.195540825549864,2.852666465802953,5.911419102139199,2.2994877975293764,0.7375715576981019,0.9870442904489304,2.342874359746912,2.9502862307924076,18.75384151852968,18.4,0.527,0.034,0.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,3.7,2.4,6.2,0.08900000000000001,1.2,-1.1,0.1,40.47560975609756
Charles Barkley,PF,71,71,2632,7.933130699088146,15.866261398176292,0.6702127659574468,2.393617021276596,6.01823708206687,7.741641337386018,3.32370820668693,7.905775075987842,3.5835866261398177,1.5592705167173253,0.7659574468085106,2.9817629179331306,2.844984802431611,22.554711246200608,24.8,0.585,0.151,0.488,10.9,25.0,18.1,17.4,2.2,1.6,13.4,27.5,7.0,3.5,10.5,0.191,5.0,0.6,5.7,37.070422535211264
Dana Barros,PG,80,25,2328,5.860824742268042,12.463917525773196,2.3195876288659796,5.690721649484536,2.0103092783505154,2.2731958762886597,0.3247422680412371,2.6443298969072164,4.731958762886598,0.8969072164948454,0.04639175257731959,1.8556701030927836,1.7938144329896908,16.051546391752577,15.6,0.596,0.457,0.182,1.0,8.4,4.6,20.8,1.2,0.1,12.1,18.3,4.8,0.8,5.6,0.11599999999999999,2.3,-1.1,1.1,29.1
Benoit Benjamin,C,13,13,404,6.326732673267326,14.346534653465346,0.0,0.0,3.4752475247524752,4.99009900990099,2.762376237623762,6.415841584158415,1.4257425742574257,0.891089108910891,1.3366336633663365,3.0297029702970297,3.564356435643564,16.128712871287128,13.6,0.488,0.0,0.348,8.7,21.7,15.0,7.6,1.3,2.8,15.5,24.8,-0.4,0.5,0.1,0.01,-2.6,-1.2,-3.8,31.076923076923077
Mookie Blaylock,PG,81,81,2893,5.661942620117525,13.974421016246112,2.8745247148288975,7.752506049083996,1.5803664016591774,2.1154510888351195,1.3688212927756653,2.7625302454199794,5.948150708606982,2.638091946076737,0.2115451088835119,2.3394400276529552,1.8790183200829589,15.778776356723125,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,5.4,3.6,9.0,0.149,3.8,1.5,5.3,35.71604938271605
Shawn Bradley,C,67,57,1995,6.207518796992481,14.003007518796993,0.01804511278195489,0.07218045112781955,2.7067669172932334,3.98796992481203,3.374436090225564,6.225563909774436,0.9924812030075189,0.7398496240601504,4.511278195488722,2.6706766917293234,4.403007518796993,15.139849624060151,13.4,0.486,0.0,0.258,11.4,25.6,18.3,4.1,1.2,8.4,22.3,18.6,-0.4,0.4,0.0,0.005,-4.7,1.3,-3.4,29.776119402985074
