Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Kareem Abdul-Jabbar,C,82,0,3534,9.555178268251273,18.43803056027165,0.0,0.0,4.940577249575552,7.568760611205433,0.0,0.0,3.432937181663837,0.0,0.0,0.0,2.882852292020374,24.0509337860781,22.5,0.552,0.0,0.41,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,9.3,4.5,13.8,0.187,0.0,0.0,0.0,43.09756097560975
Dick Barnett,SG,82,0,2772,6.415584415584416,13.493506493506494,0.0,0.0,3.012987012987013,4.220779220779221,0.0,0.0,3.8701298701298703,0.0,0.0,0.0,2.857142857142857,15.844155844155845,12.9,0.516,0.0,0.313,0.0,0.0,0.0,13.7,0.0,0.0,0.0,0.0,3.1,3.7,6.8,0.11699999999999999,0.0,0.0,0.0,33.80487804878049
Elgin Baylor,SF,54,0,2213,8.31269769543606,17.097153185720742,0.0,0.0,4.489832806145504,5.807501129688206,0.0,0.0,4.750112968820606,0.0,0.0,0.0,2.147311342069589,21.115228197017622,20.8,0.537,0.0,0.34,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.5,3.3,7.8,0.168,0.0,0.0,0.0,40.98148148148148
Walt Bellamy,C,23,0,855,5.936842105263158,12.08421052631579,0.0,0.0,3.1578947368421053,5.221052631578948,0.0,0.0,3.705263157894737,0.0,0.0,0.0,4.08421052631579,15.031578947368422,16.7,0.5670000000000001,0.0,0.648,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,2.6,0.7,3.3,0.133,0.0,0.0,0.0,37.17391304347826
Dave Bing,PG,70,0,2334,8.868894601542417,19.974293059125962,0.0,0.0,7.002570694087403,8.946015424164525,0.0,0.0,6.447300771208226,0.0,0.0,0.0,3.0231362467866325,24.740359897172237,21.3,0.517,0.0,0.44799999999999995,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,4.1,1.2,5.3,0.109,0.0,0.0,0.0,33.34285714285714
Tom Boerwinkle,C,81,0,2335,5.365310492505353,11.948608137044967,0.0,0.0,2.3126338329764455,3.484368308351178,0.0,0.0,3.5306209850107066,0.0,0.0,0.0,3.931477516059957,13.043254817987153,15.3,0.484,0.0,0.292,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.7,3.7,4.4,0.09,0.0,0.0,0.0,28.82716049382716
Bob Boozer,PF,82,0,2549,6.962730482542173,14.193801490780698,0.0,0.0,3.7143978030600233,4.519419380149078,0.0,0.0,1.5535504119262455,0.0,0.0,0.0,3.3471949784229107,17.639858768144368,15.2,0.545,0.0,0.318,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,4.4,1.5,5.9,0.111,0.0,0.0,0.0,31.085365853658537
Bill Bradley,SF,67,0,2098,7.086749285033365,15.391801715919923,0.0,0.0,2.488083889418494,3.0200190657769306,0.0,0.0,4.598665395614871,0.0,0.0,0.0,3.7578646329837944,16.661582459485224,13.7,0.498,0.0,0.196,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,1.6,3.3,4.9,0.11199999999999999,0.0,0.0,0.0,31.313432835820894
Bill Bridges,PF,82,0,3269,4.87855613337412,10.2636892015907,0.0,0.0,3.64515142245335,4.966656469868461,0.0,0.0,3.799327011318446,0.0,0.0,0.0,3.2156622820434384,13.402263689201591,15.9,0.5379999999999999,0.0,0.484,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,4.2,2.4,6.6,0.09699999999999999,0.0,0.0,0.0,39.86585365853659
Joe Caldwell,SG,82,0,2857,8.492824641232062,16.746237311865595,0.0,0.0,4.775638781939097,6.942947147357368,0.0,0.0,3.6163808190409523,0.0,0.0,0.0,3.2131606580329017,21.76128806440322,17.3,0.5489999999999999,0.0,0.415,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,6.6,1.3,7.9,0.132,0.0,0.0,0.0,34.84146341463415
