,Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,.,OWS,DWS,WS,WS/48,..1,OBPM,DBPM,BPM,VORP,OWS/48,DWS/48,Shot%,Player ID,Team Mar,Team MP,Team Gm,Year 3PAr,Team TS%,Tm USG,Tm TS W/O Plyr,Reb/Vers,Defense,Val/Shot,Offense,MPG + Int,RAW SPM,%Min,RAW Contrib,Tm Sum,Tm Adj,BPM.1,StdErr,Contrib,VORP.1,Reb/Vers.1,Val/Shot.1,Offense.1,Defense.1,MPG,Raw OBPM,Contrib.1,Tm Ortg,Tm Sum.1,Tm Adj.1,Tm DRtg,OBPM.1,OStdErr,Ocontrib,OVORP,DBPM.1,DStdErr,Dcontrib,DVORP,Sum SPM,%Min.1,MPG.1,ReMPG,BPM.2,Contrib.2,VORP.2,VORP-Gm,O-BPM,Ocontrib.1,OVORP.1,OVORP-Gm,D-BPM,Dcontrib.1,DVORP.1,DVORP-Gm,Production,Prod-Gm,Exp BPM,TrueTalentBPM,Exp%Min,TrueTalentVORP,TrueSalary,TrueTimeVORP,Adjusted Production,WORP,O-WORP,D-WORP,Adjusted WORP,Estimated Position,BBRef Pos,Age on Feb 1,Yrs Experience,Height,Weight,Rounded Position,Rounded Age
9149,2001,DAL,Michael Finley,27,82,3443,18.2,0.521,0.16899999999999998,0.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,,5.6,2.9,8.5,0.11900000000000001,,2.4,-0.1,2.3,3.8,0.078,0.040999999999999995,22.4,finlemi01,4.99,19805,82,0.17,0.544,344101,0.55,0.57,-0.34,0.04,-0.9,1.67,1.0,86.90%,0.87,-0.5,1.3,2.3,2.0,2.0,3.7,0.1,0.3,0.5,0.1,0.9,1.8,1.5,4.3,1.5,0.7,0.7,2.5,1.3,2.2,3.7,-0.2,1.5,-0.2,0.1,2.7,0.9,42.0,40.0,2.3,2.0,3.7,3.7,2.5,2.2,3.7,3.7,-0.2,-0.2,0.1,0.1,"$17,600,000 ","$17,600,000 ",3.6,2.9,0.73,3.6,"$16,700,000 ",3.1,"$14,800,000 ",10.1,9.9,0.2,8.4,2.4,3.0,27.91,5.0,79.0,215.0,2.0,28.0
9150,2001,BOS,Antoine Walker,24,81,3396,18.9,0.505,0.35100000000000003,0.20199999999999999,5.0,20.4,12.3,26.8,2.1,1.1,13.8,29.1,,2.7,3.8,6.6,0.09300000000000001,,3.4,0.5,3.9,5.0,0.039,0.054000000000000006,25.1,walkean02,-2.68,19830,82,0.17,0.521,338456,0.526,4.19,0.25,0.25,-0.96,1.66,5.14,85.60%,4.4,3.13,-1.27,3.9,2.0,3.3,5.0,0.9,0.4,1.8,0.2,0.9,4.2,3.6,-1.4,3.3,-1.0,-1.3,3.2,1.3,2.8,4.2,0.6,1.5,0.5,0.8,2.6,0.9,41.9,40.0,3.9,3.3,5.0,5.1,3.2,2.8,4.2,4.3,0.6,0.5,0.8,0.8,"$23,300,000 ","$23,600,000 ",2.5,3.3,0.73,3.8,"$17,900,000 ",4.3,"$19,900,000 ",13.6,11.4,2.2,11.5,2.9,4.0,24.47,4.0,80.0,224.0,3.0,25.0
9151,2001,GSW,Antawn Jamison,24,82,3394,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,,5.4,1.3,6.7,0.094,,1.7,-1.9,-0.2,1.5,0.076,0.018000000000000002,25.4,jamisan01,-8.65,19780,82,0.17,0.47,340391,0.46,-0.28,-0.51,0.01,1.36,1.6,2.16,85.80%,1.85,0.56,-2.19,0.0,2.0,0.0,1.7,0.3,0.3,2.2,0.1,0.8,3.7,3.2,-5.1,1.9,-1.6,-3.5,2.1,1.3,1.8,3.3,-2.1,1.5,-1.8,-1.6,4.2,0.9,41.4,39.5,0.0,0.0,1.7,1.7,2.1,1.8,3.3,3.3,-2.1,-1.8,-1.6,-1.6,"$8,500,000 ","$8,500,000 ",1.5,0.7,0.61,1.6,"$8,200,000 ",1.2,"$6,300,000 ",4.6,8.8,-4.2,3.2,3.3,3.0,24.64,2.0,80.0,223.0,3.0,25.0
9152,2001,MIA,Anthony Mason,34,80,3254,17.4,0.555,0.0,0.49700000000000005,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20.0,,6.0,5.6,11.6,0.171,,0.2,2.2,2.4,3.6,0.08800000000000001,0.083,17.3,masonan01,1.87,19880,82,0.17,0.515,343498,0.507,1.2,-0.89,0.07,0.51,1.51,2.32,81.80%,1.9,0.56,0.34,2.7,2.0,2.2,3.8,0.1,0.3,0.3,0.0,0.8,1.4,1.1,-2.1,2.8,-1.1,4.0,0.3,1.3,0.3,1.7,2.3,1.5,1.9,2.2,-2.0,0.8,40.7,38.7,2.7,2.2,3.8,3.9,0.3,0.3,1.7,1.7,2.3,1.9,2.2,2.2,"$17,900,000 ","$18,300,000 ",2.9,2.8,0.73,3.5,"$16,300,000 ",3.4,"$16,000,000 ",10.3,4.5,5.8,9.1,3.5,4.0,34.14,10.0,79.0,250.0,4.0,34.0
9153,2001,SEA,Gary Payton,32,79,3244,22.1,0.522,0.171,0.223,2.6,10.1,6.4,36.6,2.1,0.6,10.7,27.2,,9.1,1.7,10.8,0.16,,5.3,-1.3,4.0,4.9,0.135,0.025,24.3,paytoga01,0.71,19805,82,0.17,0.53,339572,0.5329999999999999,3.39,-0.01,0.39,-0.77,1.55,4.16,81.90%,3.4,0.27,0.12,4.3,2.0,3.5,5.1,0.9,0.5,2.7,0.2,0.8,5.0,4.1,2.9,1.7,0.4,-2.2,5.4,1.3,4.4,5.8,-1.1,1.5,-0.9,-0.7,6.5,0.8,41.1,39.1,4.3,3.5,5.1,5.3,5.4,4.4,5.8,6.0,-1.1,-0.9,-0.7,-0.7,"$23,800,000 ","$24,600,000 ",2.8,3.6,0.73,4.1,"$19,100,000 ",4.5,"$21,200,000 ",13.9,15.7,-1.8,12.3,1.0,1.0,32.53,10.0,76.0,180.0,1.0,33.0
9154,2001,VAN,Shareef Abdur-Rahim,24,81,3241,19.1,0.5489999999999999,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,,5.6,2.9,8.5,0.126,,1.1,0.8,1.9,3.2,0.083,0.043,21.4,abdursh01,-5.47,19780,82,0.17,0.51,336707,0.5,1.17,-0.23,0.09,0.43,1.43,2.8,81.90%,2.29,-3.66,-0.58,2.2,2.0,1.8,3.5,0.2,0.3,0.9,-0.1,0.7,2.1,1.8,-3.6,0.0,-0.9,-1.9,1.3,1.3,1.1,2.4,0.9,1.5,0.8,1.0,0.4,0.8,40.0,38.1,2.2,1.8,3.5,3.5,1.3,1.1,2.4,2.5,0.9,0.8,1.0,1.0,"$16,300,000 ","$16,500,000 ",1.7,2.0,0.73,2.9,"$13,800,000 ",3.1,"$14,600,000 ",9.3,6.6,2.7,8.3,3.6,3.0,24.14,4.0,81.0,225.0,4.0,24.0
9155,2001,DET,Jerry Stackhouse,26,80,3215,21.8,0.521,0.245,0.42,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,,6.6,2.6,9.2,0.13699999999999998,,5.0,-1.5,3.5,4.5,0.098,0.039,30.8,stackje01,-2.23,19855,82,0.17,0.498,340824,0.489,1.19,-0.45,0.31,1.28,1.45,3.47,81.00%,2.81,-3.6,0.18,3.7,2.0,3.0,4.6,0.4,0.5,4.4,0.0,0.8,6.0,4.8,-3.3,-0.4,-0.7,1.1,5.3,1.3,4.3,5.6,-1.6,1.5,-1.3,-1.1,6.9,0.8,40.2,38.3,3.7,3.0,4.6,4.7,5.3,4.3,5.6,5.8,-1.6,-1.3,-1.1,-1.1,"$21,300,000 ","$21,800,000 ",2.2,3.0,0.73,3.6,"$17,100,000 ",4.1,"$19,200,000 ",12.4,15.2,-2.9,11.1,1.9,2.0,26.24,5.0,78.0,218.0,2.0,26.0
9156,2001,MIN,Kevin Garnett,24,81,3202,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,,7.0,4.8,11.8,0.17600000000000002,,3.0,2.3,5.3,5.9,0.10400000000000001,0.07200000000000001,23.8,garneke01,2.11,19830,82,0.17,0.523,345197,0.52,4.32,0.99,0.14,-0.86,1.37,5.82,80.70%,4.7,3.09,-0.11,5.7,2.0,4.6,6.2,1.2,0.3,0.9,0.0,0.7,3.1,2.5,2.3,3.1,-0.1,-0.2,3.0,1.4,2.4,3.8,2.7,1.5,2.2,2.4,0.2,0.8,39.5,37.7,5.7,4.6,6.2,6.3,3.0,2.4,3.8,3.8,2.7,2.2,2.4,2.5,"$28,600,000 ","$29,000,000 ",2.7,4.4,0.73,4.6,"$21,400,000 ",5.6,"$25,800,000 ",16.8,10.2,6.6,15.1,4.1,4.0,24.71,5.0,83.0,220.0,4.0,25.0
9157,2001,HOU,Steve Francis,23,80,3194,21.6,0.563,0.276,0.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,,9.2,3.0,12.2,0.184,,5.7,0.8,6.4,6.8,0.139,0.045,20.4,francst01,3.04,19830,82,0.17,0.5379999999999999,341106,0.532,4.65,0.29,0.36,-0.55,1.42,5.81,80.50%,4.68,-0.41,0.81,6.6,2.0,5.3,6.9,1.9,0.5,1.8,0.3,0.7,5.2,4.2,3.9,1.9,0.6,-0.9,5.8,1.4,4.7,6.0,0.8,1.5,0.7,0.9,4.9,0.8,39.9,38.0,6.6,5.3,6.9,7.1,5.8,4.7,6.0,6.2,0.8,0.7,0.9,0.9,"$31,800,000 ","$32,500,000 ",2.9,5.0,0.73,5.0,"$23,300,000 ",6.2,"$28,700,000 ",18.7,16.3,2.5,16.9,1.4,1.0,23.95,1.0,75.0,195.0,1.0,24.0
9158,2001,CHH,Baron Davis,21,82,3192,16.6,0.512,0.28600000000000003,0.35200000000000004,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,,4.2,4.7,8.9,0.134,,2.1,1.2,3.2,4.2,0.063,0.071,15.9,davisba01,1.52,19880,82,0.17,0.506,343058,0.505,3.73,1.1,0.39,-2.16,1.31,3.98,80.30%,3.19,4.95,-0.63,3.3,2.0,2.7,4.3,1.3,0.5,0.5,0.5,0.7,3.4,2.8,-1.5,4.1,-1.2,3.1,2.2,1.4,1.8,3.2,1.1,1.5,0.9,1.1,1.1,0.8,38.9,37.1,3.3,2.7,4.3,4.3,2.2,1.8,3.2,3.2,1.1,0.9,1.1,1.1,"$20,000,000 ","$20,000,000 ",2.5,3.0,0.73,3.6,"$17,000,000 ",3.9,"$18,200,000 ",11.6,8.6,3.0,10.5,1.3,1.0,21.81,1.0,75.0,209.0,1.0,22.0
