name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Shareef Abdur-Rahim,SMALL FORWARD,81,81,3241,6.709040419623572,14.21783400185128,0.13329219376735574,0.710891700092564,4.920703486578216,5.898179574205492,1.9438444924406046,6.2203023758099345,2.776920703486578,0.9996914532551681,0.855291576673866,2.5658747300215983,2.6436285097192225,18.47207651959272,19.1,0.5489999999999999,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,40.01234567901235
Courtney Alexander,POINT GUARD,27,18,910,7.002197802197802,15.626373626373626,0.5538461538461539,1.424175824175824,3.5604395604395602,4.153846153846153,0.8703296703296703,2.2945054945054943,1.621978021978022,1.1472527472527472,0.07912087912087912,2.1362637362637362,2.4923076923076923,18.11868131868132,6.8,0.40399999999999997,0.055999999999999994,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,-0.5,0.4,-0.1,-0.013000000000000001,-5.5,-0.8,-6.2,33.7037037037037
Ray Allen,SHOOTING GUARD,82,82,3129,7.225311601150527,15.060402684563758,2.324065196548418,5.372962607861937,4.003835091083413,4.510067114093959,1.162032598274209,3.7622243528283796,4.302972195589645,1.426653883029722,0.23010546500479387,2.3470757430488973,2.209012464046021,20.778523489932887,22.9,0.61,0.35700000000000004,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.21100000000000002,5.7,-0.3,5.5,38.15853658536585
Derek Anderson,SHOOTING GUARD,82,82,2859,5.2004197271773345,12.50367261280168,1.2717733473242392,3.185729275970619,4.306400839454355,5.061909758656873,0.944386149003148,3.626442812172088,3.7901364113326337,1.5110178384050368,0.17628541448058763,2.0776495278069254,2.3672612801678907,15.979013641133264,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,1.2,1.2,2.4,34.86585365853659
Shandon Anderson,SHOOTING GUARD,82,82,2396,3.951585976627713,8.864774624373958,0.6911519198664441,2.5542570951585977,2.0734557595993324,2.8247078464106847,1.0818030050083474,3.921535893155259,2.8397328881469117,1.2320534223706177,0.6010016694490818,1.968280467445743,3.0350584307178634,10.667779632721203,11.9,0.528,0.28800000000000003,0.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,1.9,2.0,3.9,0.078,-1.1,0.7,-0.4,29.21951219512195
Darrell Armstrong,POINT GUARD,75,75,2767,5.373328514636791,13.036501626310082,1.8604987350921576,5.2432237079869894,2.862305746295627,3.2396096855800507,1.2229851825081315,3.2396096855800507,6.817491868449585,1.7564148897723166,0.16913624864474158,2.6020961329960244,2.016624503071919,15.469461510661366,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,5.8,2.9,8.7,0.151,3.2,0.1,3.3,36.89333333333333
Chucky Atkins,POINT GUARD,81,75,2363,5.789250952179433,14.503597122302157,1.8434193821413456,5.1646212441811254,1.3711383834109183,1.9805332204824375,0.4265763859500635,2.2090562843842574,5.0275074058400335,1.0207363520947947,0.0761743546339399,2.2699957680914093,2.8032162505289886,14.793059669911129,12.2,0.48100000000000004,0.35600000000000004,0.13699999999999998,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,1.2,1.6,2.8,0.057,-0.6,-1.0,-1.6,29.17283950617284
Travis Best,POINT GUARD,77,21,2457,5.084249084249084,11.545787545787546,0.5421245421245421,1.4212454212454213,2.73992673992674,3.311355311355311,0.5567765567765568,2.695970695970696,6.930402930402931,1.6117216117216118,0.16117216117216118,1.8608058608058609,3.6043956043956045,13.45054945054945,16.7,0.517,0.12300000000000001,0.287,1.8,8.2,5.1,34.0,2.4,0.3,12.5,19.3,4.8,2.3,7.2,0.14,0.8,0.6,1.4,31.90909090909091
Mike Bibby,POINT GUARD,82,82,3190,5.924764890282131,13.057053291536048,1.218808777429467,3.216300940438871,1.6137931034482758,2.121630094043887,0.5304075235109718,2.9003134796238244,7.730407523510971,1.2075235109717868,0.135423197492163,2.798746081504702,1.670219435736677,14.682131661442005,16.8,0.525,0.24600000000000002,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,4.0,1.4,5.3,0.081,2.0,-1.2,0.7,38.90243902439025
Mookie Blaylock,POINT GUARD,69,59,2352,4.8520408163265305,12.260204081632653,1.1173469387755102,3.443877551020408,0.8112244897959183,1.163265306122449,1.086734693877551,3.076530612244898,7.071428571428571,2.4948979591836733,0.30612244897959184,1.9591836734693877,2.0510204081632653,11.63265306122449,15.8,0.455,0.281,0.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,1.9,1.6,3.5,0.071,0.2,1.0,1.2,34.08695652173913
