Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Shareef Abdur-Rahim,PF,53,53,1956,7.049079754601228,14.539877300613497,0.09202453987730062,0.4233128834355829,5.411042944785277,6.147239263803681,2.5950920245398774,6.515337423312884,2.337423312883436,0.8098159509202455,0.34969325153374237,2.4110429447852764,2.7055214723926384,19.601226993865033,21.2,0.568,0.028999999999999998,0.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,5.3,1.3,6.6,0.163,3.3,-1.0,2.3,36.905660377358494
Ray Allen,SG,56,56,2152,7.477695167286244,17.013011152416354,2.4758364312267656,6.323420074349442,4.098513011152416,4.533457249070631,1.1542750929368029,3.6301115241635684,4.483271375464684,1.1877323420074348,0.18401486988847582,2.6096654275092934,2.20817843866171,21.529739776951672,21.7,0.5660000000000001,0.37200000000000005,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,6.5,0.4,6.9,0.153,5.5,-1.5,4.0,38.42857142857143
Rafer Alston,PG,82,28,2581,4.003099573808601,10.65633475397133,2.245641224331654,6.053467648198373,1.4366524602867106,1.8690430065865944,0.3626501356063541,2.7896164277411857,5.188686555598605,1.5900813638124758,0.2510654784967067,1.7853545137543587,2.9569934134056566,11.688492832235568,13.7,0.509,0.568,0.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,3.1,2.8,5.9,0.11,0.2,0.7,0.9,31.475609756097562
Derek Anderson,SG,51,46,1810,4.574585635359115,12.172375690607733,1.571270718232044,5.151381215469613,3.0828729281767955,3.7392265193370164,0.5171270718232044,3.1027624309392263,4.534806629834254,1.312707182320442,0.05966850828729281,1.7900552486187844,1.571270718232044,13.803314917127071,15.1,0.499,0.423,0.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,0.09699999999999999,0.8,-0.5,0.3,35.490196078431374
Carmelo Anthony,SF,82,82,2995,7.500500834724541,17.609348914858096,0.8293823038397329,2.57228714524207,4.904173622704508,6.3105175292153595,2.1996661101836392,3.7863105175292153,2.7285475792988314,1.1659432387312187,0.4928213689482471,2.968948247078464,2.704507512520868,20.734557595993323,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.0,36.52439024390244
Gilbert Arenas,PG,55,52,2066,6.238141335914812,15.92642787996128,2.178121974830591,5.802516940948694,4.1297192642788,5.523717328170378,0.9583736689254599,3.4675701839303006,4.791868344627299,1.7947725072604068,0.2090997095837367,3.938044530493708,3.0667957405614716,18.784123910939016,16.0,0.512,0.364,0.34700000000000003,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,1.1,1.5,2.6,0.061,1.1,-1.0,0.1,37.56363636363636
Chucky Atkins,PG,24,24,793,4.721311475409836,11.303909205548551,1.7704918032786887,5.039092055485498,1.9066834804539723,2.4514501891551075,0.13619167717528374,1.9066834804539723,5.810844892812106,1.180327868852459,0.04539722572509458,1.9974779319041616,1.9066834804539723,13.119798234552334,10.1,0.49,0.5529999999999999,0.183,0.9,6.4,3.7,21.9,1.4,0.1,15.9,18.8,0.3,1.0,1.2,0.079,-1.3,-0.3,-1.6,33.041666666666664
Brent Barry,SG,59,53,1803,4.292845257903494,8.525790349417637,2.276206322795341,5.031613976705491,1.816971713810316,2.196339434276206,0.4193011647254576,3.653910149750416,6.8286189683860234,1.697171381031614,0.3194675540765391,2.775374376039933,2.415973377703827,12.678868552412645,18.3,0.6679999999999999,0.59,0.258,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8,4.9,0.7,5.7,0.151,3.2,0.1,3.2,30.559322033898304
Mike Bibby,PG,82,82,2980,6.366442953020134,14.134228187919463,1.7879194630872484,4.566442953020134,3.6724832214765097,4.506040268456376,0.8093959731543624,2.5369127516778525,5.363758389261744,1.3530201342281878,0.2174496644295302,2.1140939597315436,1.763758389261745,18.193288590604027,19.3,0.564,0.32299999999999995,0.319,2.6,7.8,5.3,24.5,1.9,0.4,11.6,22.9,8.0,1.3,9.3,0.151,3.4,-1.0,2.4,36.34146341463415
Chauncey Billups,PG,78,78,2758,5.116751269035533,13.000725163161711,1.696881798404641,4.372733865119652,5.273386511965192,6.004350978970268,0.45685279187817257,3.145757795503988,5.821609862218999,1.0964467005076142,0.10442349528643945,2.467005076142132,2.310369833212473,17.2037708484409,18.6,0.55,0.336,0.462,1.5,10.0,5.8,29.3,1.7,0.2,13.6,23.5,7.1,4.2,11.3,0.198,3.1,0.5,3.6,35.35897435897436
