name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,games_played_y,minutes_played_y,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Shareef Abdur-Rahim,SMALL FORWARD,81,81,3241,604,1280,12,64,443,531,175,560,250,90,77,231,238,1663,81,3241,19.1,0.5489999999999999,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,40.01234567901235
Courtney Alexander,POINT GUARD,27,18,910,177,395,14,36,90,105,22,58,41,29,2,54,63,458,38,472,6.8,0.40399999999999997,0.055999999999999994,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,-0.5,0.4,-0.1,-0.013000000000000001,-5.5,-0.8,-6.2,33.7037037037037
Courtney Alexander,POINT GUARD,27,18,910,177,395,14,36,90,105,22,58,41,29,2,54,63,458,27,910,14.2,0.519,0.091,0.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,0.9,0.1,0.9,0.048,-0.8,-2.5,-3.3,33.7037037037037
Ray Allen,SHOOTING GUARD,82,82,3129,628,1309,202,467,348,392,101,327,374,124,20,204,192,1806,82,3129,22.9,0.61,0.35700000000000004,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.21100000000000002,5.7,-0.3,5.5,38.15853658536585
Derek Anderson,SHOOTING GUARD,82,82,2859,413,993,101,253,342,402,75,288,301,120,14,165,188,1269,82,2859,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,1.2,1.2,2.4,34.86585365853659
Shandon Anderson,SHOOTING GUARD,82,82,2396,263,590,46,170,138,188,72,261,189,82,40,131,202,710,82,2396,11.9,0.528,0.28800000000000003,0.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,1.9,2.0,3.9,0.078,-1.1,0.7,-0.4,29.21951219512195
Darrell Armstrong,POINT GUARD,75,75,2767,413,1002,143,403,220,249,94,249,524,135,13,200,155,1189,75,2767,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,5.8,2.9,8.7,0.151,3.2,0.1,3.3,36.89333333333333
Chucky Atkins,POINT GUARD,81,75,2363,380,952,121,339,90,130,28,145,330,67,5,149,184,971,81,2363,12.2,0.48100000000000004,0.35600000000000004,0.13699999999999998,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,1.2,1.6,2.8,0.057,-0.6,-1.0,-1.6,29.17283950617284
Travis Best,POINT GUARD,77,21,2457,347,788,37,97,187,226,38,184,473,110,11,127,246,918,77,2457,16.7,0.517,0.12300000000000001,0.287,1.8,8.2,5.1,34.0,2.4,0.3,12.5,19.3,4.8,2.3,7.2,0.14,0.8,0.6,1.4,31.90909090909091
Mike Bibby,POINT GUARD,82,82,3190,525,1157,108,285,143,188,47,257,685,107,12,248,148,1301,82,3190,16.8,0.525,0.24600000000000002,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,4.0,1.4,5.3,0.081,2.0,-1.2,0.7,38.90243902439025
Mookie Blaylock,POINT GUARD,69,59,2352,317,801,73,225,53,76,71,201,462,163,20,128,134,760,69,2352,15.8,0.455,0.281,0.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,1.9,1.6,3.5,0.071,0.2,1.0,1.2,34.08695652173913
Bruce Bowen,SMALL FORWARD,82,72,2685,211,581,103,307,98,161,45,200,132,83,53,74,269,623,82,2685,8.1,0.478,0.528,0.27699999999999997,2.0,8.8,5.4,8.2,1.7,1.5,10.2,13.1,0.5,3.7,4.2,0.075,-2.6,1.5,-1.1,32.74390243902439
Elton Brand,POWER FORWARD,74,74,2906,578,1215,0,2,334,472,285,461,240,71,118,219,243,1490,74,2906,20.4,0.524,0.002,0.38799999999999996,11.2,19.6,15.2,17.0,1.3,3.0,13.3,26.3,4.1,2.0,6.1,0.10099999999999999,2.2,-1.2,1.1,39.270270270270274
Terrell Brandon,POINT GUARD,78,78,2821,511,1134,33,91,195,224,60,238,583,161,21,155,138,1250,78,2821,20.0,0.507,0.08,0.198,2.4,9.7,6.0,33.7,3.0,0.5,11.2,22.2,5.8,2.7,8.5,0.145,2.6,0.5,3.1,36.166666666666664
PJ Brown,CENTER,80,79,2811,249,561,0,4,178,209,257,485,127,78,92,108,260,676,80,2811,13.3,0.518,0.006999999999999999,0.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,3.4,4.7,8.0,0.13699999999999998,-1.3,0.9,-0.4,35.1375
Kobe Bryant,SHOOTING GUARD,68,68,2783,701,1510,61,200,475,557,104,295,338,114,43,220,222,1938,68,2783,24.5,0.552,0.132,0.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,9.2,2.2,11.3,0.196,5.1,-0.3,4.8,40.9264705882353
Marcus Camby,CENTER,63,63,2127,304,580,1,8,150,225,196,527,52,66,136,63,205,759,63,2127,20.9,0.5589999999999999,0.013999999999999999,0.38799999999999996,11.5,29.0,20.5,4.5,1.7,5.2,8.5,17.0,4.8,5.5,10.3,0.233,2.0,2.5,4.6,33.76190476190476
Elden Campbell,POWER FORWARD,78,78,2337,367,834,0,6,288,406,157,451,104,60,140,144,280,1022,78,2337,16.4,0.505,0.006999999999999999,0.48700000000000004,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,1.9,4.5,6.4,0.131,-1.4,1.2,-0.3,29.96153846153846
Vince Carter,SMALL FORWARD,75,75,2979,762,1656,162,397,384,502,176,240,291,114,82,167,205,2070,75,2979,25.0,0.551,0.24,0.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,10.3,2.6,12.9,0.20800000000000002,7.6,0.1,7.6,39.72
Sam Cassell,POINT GUARD,76,75,2709,537,1132,30,98,277,323,46,244,580,88,8,220,214,1381,76,2709,20.1,0.542,0.087,0.285,1.9,10.1,6.1,36.4,1.7,0.2,14.7,24.9,7.0,1.4,8.5,0.15,2.5,-1.5,1.1,35.64473684210526
Doug Christie,SHOOTING GUARD,81,81,2939,311,788,94,250,280,312,95,260,289,183,45,154,224,996,81,2939,14.8,0.5379999999999999,0.317,0.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,4.3,4.4,8.7,0.141,0.0,2.3,2.3,36.28395061728395
Antonio Davis,CENTER,78,77,2729,375,866,0,1,319,423,274,513,106,22,151,135,230,1069,78,2729,16.5,0.508,0.001,0.488,11.0,21.7,16.2,6.2,0.4,3.9,11.4,19.5,4.2,3.1,7.2,0.127,-0.3,-0.8,-1.1,34.98717948717949
Baron Davis,POINT GUARD,82,82,3192,409,957,85,274,228,337,129,279,598,170,36,226,267,1131,82,3192,16.6,0.512,0.28600000000000003,0.35200000000000004,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,4.2,4.7,8.9,0.134,1.0,1.4,2.4,38.926829268292686
Hubert Davis,POINT GUARD,15,11,431,57,119,20,38,19,21,10,20,49,6,0,25,29,153,51,1261,9.1,0.5589999999999999,0.424,0.131,1.6,7.9,4.8,7.2,1.2,0.1,14.4,14.0,0.8,0.7,1.5,0.057999999999999996,-1.1,-0.6,-1.7,28.733333333333334
Hubert Davis,POINT GUARD,15,11,431,57,119,20,38,19,21,10,20,49,6,0,25,29,153,15,431,12.8,0.597,0.319,0.17600000000000002,2.7,5.5,4.1,19.4,0.7,0.0,16.3,15.8,0.8,-0.1,0.7,0.075,0.8,-2.6,-1.8,28.733333333333334
Michael Dickerson,SHOOTING GUARD,70,69,2618,425,1020,86,230,206,270,70,159,233,62,27,162,207,1142,70,2618,12.4,0.501,0.225,0.265,3.1,6.9,5.0,15.8,1.2,0.7,12.5,22.7,1.2,0.7,1.8,0.034,-0.7,-1.5,-2.2,37.4
Vlade Divac,CENTER,81,81,2420,364,755,4,14,242,350,207,466,231,87,93,192,242,974,81,2420,17.7,0.536,0.019,0.46399999999999997,9.5,20.2,15.0,15.2,1.8,2.6,17.4,20.1,3.1,4.3,7.4,0.147,0.3,1.6,1.9,29.876543209876544
Tim Duncan,POWER FORWARD,82,82,3174,702,1406,7,27,409,662,259,738,245,70,192,242,247,1820,82,3174,23.8,0.536,0.019,0.47100000000000003,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,0.2,2.9,1.8,4.7,38.707317073170735
Howard Eisley,SHOOTING GUARD,82,40,2426,265,675,107,269,104,126,23,174,295,99,12,102,218,741,82,2426,11.7,0.507,0.39899999999999997,0.187,1.1,7.8,4.5,18.2,2.1,0.4,12.3,15.6,2.4,2.0,4.4,0.087,-0.5,0.6,0.0,29.585365853658537
Michael Finley,SMALL FORWARD,82,82,3443,711,1552,91,263,252,325,109,316,360,118,32,190,174,1765,82,3443,18.2,0.521,0.16899999999999998,0.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,5.6,2.9,8.5,0.11900000000000001,2.4,-0.5,1.9,41.98780487804878
