Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Kareem Abdul-Jabbar,C,79,79,2630,9.896577946768062,16.52167300380228,0.0,0.013688212927756654,3.955893536121673,5.406844106463878,2.217490494296578,6.296577946768061,3.408365019011407,0.8623574144486692,2.217490494296578,2.696577946768061,3.2577946768060837,23.749049429657795,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,7.6,3.6,11.2,0.204,3.9,1.2,5.1,33.29113924050633
Mark Aguirre,SF,80,79,2699,10.590589107076696,20.92775101889589,0.3601333827343461,1.1337532419414598,5.86884031122638,7.736198592071138,2.507595405705817,3.8547610226009636,3.3212300852167473,0.8002964060763246,0.32011856243052983,3.374583178955169,3.3345683586513526,27.410151908114116,21.3,0.563,0.054000000000000006,0.37,7.8,12.5,10.1,15.3,1.1,0.5,12.2,32.2,5.3,1.9,7.2,0.128,3.5,-1.7,1.8,33.7375
Danny Ainge,SG,75,73,2564,5.8829953198127924,11.1201248049922,0.2106084243369735,0.7862714508580344,1.656786271450858,1.9095163806552262,1.0670826833073324,2.6957878315132606,5.6021840873634945,1.7129485179407178,0.0842433697347894,2.09204368174727,3.201248049921997,13.633385335413417,14.2,0.57,0.071,0.172,3.4,7.9,5.8,19.9,2.2,0.1,14.9,15.9,3.9,2.8,6.6,0.124,-0.1,0.8,0.7,34.18666666666667
John Bagley,PG,81,65,2401,5.067888379841732,10.390670553935859,0.044981257809246146,0.3898375676801333,1.8742190753852561,2.5039566847147023,0.8096626405664307,3.5535193669304457,10.450645564348187,1.9341940857975843,0.07496876301541025,3.103706788837984,1.9791753436068305,12.054977092877968,16.0,0.524,0.038,0.24100000000000002,2.4,10.7,6.6,39.4,2.5,0.1,21.3,16.3,2.3,2.3,4.6,0.092,1.3,0.4,1.7,29.641975308641975
Thurl Bailey,PF,80,68,2481,7.35671100362757,15.003627569528415,0.014510278113663845,0.014510278113663845,2.8585247883917777,3.39540507859734,2.2200725513905684,5.39782345828295,2.0024183796856105,0.7400241837968561,1.5235792019347039,2.2055622732769047,3.1197097944377266,17.58645707376058,14.7,0.5329999999999999,0.001,0.226,6.5,15.1,10.9,8.2,0.9,2.3,11.8,20.6,1.6,3.8,5.4,0.10400000000000001,-0.6,0.5,-0.2,31.0125
Greg Ballard,SF,82,77,2664,6.337837837837839,13.216216216216218,0.1891891891891892,0.6216216216216217,1.6216216216216217,2.040540540540541,2.027027027027027,5.148648648648649,2.810810810810811,1.3513513513513513,0.44594594594594594,1.4324324324324325,2.986486486486487,14.486486486486488,14.3,0.513,0.047,0.154,6.1,16.2,11.0,10.9,1.8,0.7,9.2,18.0,2.1,3.9,6.0,0.109,-0.3,0.9,0.6,32.48780487804878
Charles Barkley,PF,82,60,2347,6.549637835534726,12.010225820195995,0.01533873029399233,0.09203238176395398,4.494247976139753,6.135492117596932,4.0801022582019595,6.703025138474649,2.3775031955688113,1.4571793779292714,1.2270984235193865,3.2057946314443972,4.6169578184916915,17.608862377503197,18.3,0.599,0.008,0.511,12.9,20.8,16.9,9.6,1.9,2.0,17.9,20.0,4.2,3.3,7.5,0.154,1.3,0.4,1.7,28.621951219512194
Larry Bird,SF,80,77,3161,10.454919329326163,20.044289781714646,0.6377728566909205,1.4919329326162607,4.589686807972161,5.204682062638406,1.8677633660234103,7.721607086365074,6.047453337551407,1.469155330591585,1.116102499209111,2.824422651059791,2.3688706105662765,26.137298323315406,26.5,0.585,0.07400000000000001,0.26,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,10.5,5.2,15.7,0.23800000000000002,6.8,2.0,8.8,39.5125
Otis Birdsong,SG,56,45,1842,9.674267100977199,18.918566775244297,0.0781758957654723,0.4104234527687296,3.14657980456026,5.061889250814332,1.1726384364820845,1.7198697068403908,4.5342019543973935,1.6416938110749184,0.13680781758957652,2.286644951140065,2.8338762214983713,22.573289902280127,18.1,0.534,0.022000000000000002,0.268,3.5,5.5,4.5,19.3,2.2,0.2,9.8,26.3,2.8,1.4,4.2,0.109,1.7,-0.5,1.2,32.892857142857146
Rolando Blackman,SG,81,80,2834,7.939308398023995,15.624558927311222,0.07621736062103035,0.25405786873676783,4.34438955539873,5.246294989414256,1.359209597741708,2.4516584333098095,3.671136203246295,0.7748764996471419,0.20324629498941427,2.0578687367678192,1.2194777699364856,20.29922371206775,17.7,0.5660000000000001,0.016,0.336,4.2,7.9,6.0,15.1,1.0,0.3,10.3,23.2,5.8,1.4,7.3,0.12300000000000001,2.2,-1.4,0.9,34.98765432098765
Sam Bowie,C,76,62,2216,4.85740072202166,9.048736462093862,0.0,0.0,2.59927797833935,3.6552346570397107,3.362815884476534,7.2942238267148,3.4927797833935013,0.8935018050541516,3.2978339350180503,2.794223826714801,4.51624548736462,12.31407942238267,15.7,0.578,0.0,0.40399999999999997,10.5,22.6,16.6,12.2,1.2,5.0,20.8,14.8,2.2,3.5,5.7,0.12300000000000001,-0.3,2.3,2.0,29.157894736842106
Tom Chambers,PF,81,60,2923,7.746835443037975,16.03557988368115,0.07389668149161821,0.2709544988026001,5.850153951419775,7.032500855285666,2.0198426274375643,5.111187136503593,2.574067738624701,0.8621279507355457,0.7020184741703729,3.2021895313034556,3.8426274375641465,21.417721518987342,16.5,0.56,0.017,0.439,6.5,16.5,11.5,11.6,1.2,1.1,14.3,26.0,3.1,2.9,5.9,0.098,0.0,-0.6,-0.6,36.08641975308642
Maurice Cheeks,PG,78,78,2616,5.807339449541285,10.197247706422019,0.08256880733944955,0.3577981651376147,2.408256880733945,2.7385321100917435,0.7431192660550459,2.243119266055046,6.839449541284404,2.3256880733944953,0.3302752293577982,2.13302752293578,2.532110091743119,14.105504587155965,17.6,0.619,0.035,0.26899999999999996,2.4,7.0,4.7,26.8,3.1,0.5,15.8,15.1,6.2,2.8,9.0,0.165,2.2,1.5,3.7,33.53846153846154
Lester Conner,PG,79,49,2258,3.922054915854739,8.705048715677592,0.0637732506643047,0.3188662533215235,2.2958370239149692,3.0611160318866255,1.3870682019486271,2.534986713906112,5.883082373782108,2.566873339238264,0.20726306465899028,2.200177147918512,2.16829052258636,10.203720106288753,13.1,0.508,0.037000000000000005,0.35200000000000004,4.0,8.6,6.1,21.2,3.3,0.3,18.0,13.3,1.5,1.3,2.8,0.06,-0.7,1.0,0.3,28.582278481012658
Charlie Criss,PG,4,2,115,2.191304347826087,5.321739130434783,0.0,0.6260869565217392,1.2521739130434784,1.8782608695652177,0.6260869565217392,3.7565217391304353,6.886956521739131,0.9391304347826088,0.0,3.4434782608695653,1.565217391304348,5.6347826086956525,6.9,0.45799999999999996,0.11800000000000001,0.353,1.9,11.3,6.7,23.7,1.3,0.0,35.9,11.0,-0.1,0.1,0.0,-0.012,-3.3,1.0,-2.3,28.75
Pat Cummings,C,63,63,2069,7.133881101981634,13.867568873852104,0.0,0.06959884001933302,3.0797486708554858,3.9497341710971487,2.4185596906718225,6.594490091831803,1.8965683905268247,0.8699855002416627,0.2957950700821653,2.88835186080232,4.297728371193814,17.347510874818756,14.3,0.556,0.005,0.285,7.6,21.9,14.5,7.9,1.2,0.5,15.6,21.2,1.3,2.0,3.3,0.077,-0.5,-1.0,-1.5,32.84126984126984
