,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot,A2TO,MPG
2,Steven Adams,C,6.5,10.3,0.629,0.0,0.0,0.0,6.5,10.3,0.631,2.3,4.1,0.5589999999999999,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,6.7,3.0,9.7,0.187,2.2,1.1,3.3,3.3,1.33,11.63,1.77,4.45,5.09,3.22,3.44,1.91,1.482,1.4615384615384615,32.723684210526315
6,LaMarcus Aldridge,C,9.9,19.3,0.51,0.4,1.3,0.293,9.5,18.0,0.526,4.8,5.7,0.8370000000000001,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9,75,2509,25.0,0.57,0.068,0.29600000000000004,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,3.0,0.3,3.3,3.3,0.68,10.94,3.02,4.47,6.52,5.11,5.92,4.69,1.262,0.7272727272727273,33.45333333333333
10,Al-Farouq Aminu,PF,4.0,10.1,0.395,2.2,5.9,0.369,1.8,4.2,0.43200000000000005,1.0,1.4,0.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2,69,2072,12.0,0.522,0.5820000000000001,0.13699999999999998,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.09699999999999999,-0.8,1.9,1.1,1.6,0.75,2.73,1.62,1.16,2.8,1.89,2.87,1.53,1.115,0.9333333333333332,30.028985507246375
15,Giannis Antetokounmpo,PF,9.7,18.3,0.529,0.6,1.8,0.307,9.1,16.5,0.5539999999999999,6.4,8.4,0.76,2.0,7.8,9.8,4.7,1.4,1.4,2.9,3.0,26.3,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4,4.66,15.94,4.05,3.05,6.86,6.34,7.72,6.27,1.445,0.6170212765957447,36.74666666666667
16,Carmelo Anthony,PF,6.8,16.8,0.40399999999999997,2.4,6.8,0.35700000000000004,4.4,10.0,0.43700000000000006,2.1,2.8,0.767,1.0,5.6,6.5,1.5,0.7,0.7,1.4,2.8,18.2,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-1.9,-1.9,-3.8,-1.1,1.89,3.33,2.8,2.55,5.06,4.14,4.97,2.58,1.088,0.9333333333333332,32.06410256410256
19,Trevor Ariza,SF,4.3,10.3,0.41200000000000003,2.7,7.3,0.368,1.6,3.0,0.519,1.2,1.4,0.8540000000000001,0.5,4.1,4.7,1.7,1.6,0.2,0.8,2.1,12.4,67,2269,11.8,0.5670000000000001,0.71,0.13699999999999998,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,2.6,2.8,5.3,0.113,0.8,0.7,1.5,2.0,2.91,2.87,2.51,1.02,3.71,2.76,2.98,2.44,1.235,0.4705882352941177,33.865671641791046
26,Lonzo Ball,PG,4.1,11.4,0.36,1.8,6.0,0.305,2.3,5.4,0.42,0.6,1.4,0.451,1.4,5.9,7.3,7.6,1.8,0.9,2.8,2.4,10.7,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,-0.5,2.5,2.0,0.053,-0.8,2.5,1.7,1.7,1.37,3.87,1.83,1.17,2.33,2.65,3.3,1.74,0.9440000000000001,0.3684210526315789,34.23076923076923
27,Harrison Barnes,PF,7.3,16.5,0.445,1.6,4.6,0.35700000000000004,5.7,12.0,0.478,3.5,4.3,0.8270000000000001,1.1,5.3,6.4,2.1,0.7,0.2,1.6,1.3,19.8,77,2634,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2.0,1.9,3.8,0.07,-0.7,-1.4,-2.1,-0.1,0.89,7.55,2.26,1.47,5.12,4.38,5.39,3.62,1.2109999999999999,0.7619047619047619,34.20779220779221
28,Will Barton,SG,6.2,13.8,0.452,2.1,5.7,0.37,4.1,8.1,0.51,2.4,3.0,0.805,0.9,4.5,5.5,4.4,1.1,0.7,2.0,2.3,17.0,81,2683,16.2,0.562,0.41100000000000003,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.6,1.0,2.0,3.34,6.85,2.74,1.47,3.88,3.81,3.19,3.93,1.215,0.45454545454545453,33.123456790123456
29,Nicolas Batum,SG,4.9,11.8,0.415,1.7,5.0,0.336,3.2,6.8,0.473,2.0,2.4,0.831,1.0,4.5,5.6,6.3,1.2,0.4,2.4,1.3,13.4,64,1981,14.4,0.523,0.42200000000000004,0.2,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,1.7,1.8,3.5,0.084,0.9,0.5,1.4,1.7,0.78,2.84,1.85,1.2,4.04,2.27,3.95,1.87,1.138,0.38095238095238093,30.953125
