,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team,Season,Season Type,Games,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot
0,Alex Abrines,SG,3.7,9.2,0.395,2.7,7.0,0.38,1.0,2.2,0.44299999999999995,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2,9.0,0.5670000000000001,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,0.094,-0.5,-1.7,-2.2,-0.1,Thunder,2017-2018,REG,64,0.72,0.84,0.81,0.66,1.27,1.28,0.69,1.5,1.202
1,Quincy Acy,PF,3.4,9.7,0.35600000000000004,2.7,7.7,0.349,0.7,1.9,0.384,1.3,1.6,0.8170000000000001,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9,8.2,0.525,0.8,0.16399999999999998,3.1,17.0,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,0.036000000000000004,-2.0,-0.2,-2.2,-0.1,Nets,2017-2018,REG,59,0.24,0.61,0.78,0.36,1.12,1.39,1.64,1.27,1.081
2,Steven Adams,C,6.5,10.3,0.629,0.0,0.0,0.0,6.5,10.3,0.631,2.3,4.1,0.5589999999999999,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,6.7,3.0,9.7,0.187,2.2,1.1,3.3,3.3,Thunder,2017-2018,REG,64,1.33,11.63,1.77,4.45,5.09,3.22,3.44,1.91,1.482
3,Bam Adebayo,C,4.6,8.9,0.512,0.0,0.2,0.0,4.6,8.8,0.523,3.4,4.7,0.721,3.1,6.9,10.0,2.7,0.8,1.1,1.7,3.6,12.6,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,-1.6,1.8,0.2,0.8,Heat,2017-2018,REG,59,0.49,4.71,0.85,1.27,1.64,1.81,1.51,2.02,1.4409999999999998
4,Arron Afflalo,SG,3.4,8.6,0.401,1.4,3.7,0.386,2.0,4.9,0.413,1.2,1.4,0.846,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3.0,9.4,5.8,0.516,0.43200000000000005,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009000000000000001,-4.1,-1.8,-5.8,-0.7,Magic,2017-2018,REG,46,0.3,0.87,0.61,0.24,0.28,1.07,0.41,1.61,1.099
5,Cole Aldrich,C,3.7,11.0,0.33299999999999996,0.0,0.0,,3.7,11.0,0.33299999999999996,1.5,4.4,0.33299999999999996,2.2,8.8,11.0,2.2,1.5,0.7,0.7,8.1,8.8,6.0,0.34,0.0,0.4,7.0,28.6,17.7,8.2,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013000000000000001,-7.0,0.1,-6.9,-0.1,Timberwolves,2017-2018,REG,16,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.5,0.727
6,LaMarcus Aldridge,C,9.9,19.3,0.51,0.4,1.3,0.293,9.5,18.0,0.526,4.8,5.7,0.8370000000000001,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9,25.0,0.57,0.068,0.29600000000000004,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,3.0,0.3,3.3,3.3,Spurs,2017-2018,REG,62,0.68,10.94,3.02,4.47,6.52,5.11,5.92,4.69,1.262
7,Jarrett Allen,C,5.8,9.9,0.589,0.1,0.4,0.33299999999999996,5.7,9.5,0.599,2.8,3.7,0.7759999999999999,3.6,6.1,9.7,1.2,0.7,2.2,2.0,3.7,14.7,17.5,0.636,0.038,0.37,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8,Nets,2017-2018,REG,58,0.47,6.24,1.03,1.72,1.97,1.76,2.19,2.05,1.455
8,Kadeem Allen,PG,2.0,7.4,0.273,0.0,3.7,0.0,2.0,3.7,0.545,2.4,3.0,0.778,1.3,2.4,3.7,4.0,1.0,0.7,3.0,5.0,6.4,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.039,-6.7,0.3,-6.4,-0.1,Celtics,2017-2018,REG,8,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.63,0.833
9,Tony Allen,SF,5.8,12.0,0.484,0.5,1.6,0.33299999999999996,5.3,10.4,0.506,1.5,2.8,0.524,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.017,-4.0,-1.3,-5.2,-0.2,Pelicans,2017-2018,REG,20,1.15,3.8,1.0,0.9,0.7,1.5,0.8,2.15,1.179
10,Al-Farouq Aminu,PF,4.0,10.1,0.395,2.2,5.9,0.369,1.8,4.2,0.43200000000000005,1.0,1.4,0.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2,12.0,0.522,0.5820000000000001,0.13699999999999998,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.09699999999999999,-0.8,1.9,1.1,1.6,Trail Blazers,2017-2018,REG,55,0.75,2.73,1.62,1.16,2.8,1.89,2.87,1.53,1.115
